,location,total_sqft,bath,price,bhk,encoded_loc
2745,Whitefield,1173.0,2,60.0,2,239
2746,Sarjapur  Road,2720.0,5,210.0,3,207
2747,Jakkur,1230.0,2,76.0,2,117
2748,others,3200.0,3,190.0,4,245
2749,Sarjapur  Road,858.0,2,31.57,2,207
2750,Talaghattapura,1868.0,3,121.0,3,222
2751,Uttarahalli,1689.28,3,91.2,3,230
2752,Banashankari,1425.0,3,49.88,3,29
2753,Tindlu,1350.0,2,100.0,2,227
2754,Channasandra,4200.0,6,180.0,6,59
2755,Uttarahalli,1310.0,2,85.0,3,230
2756,Haralur Road,4587.5,0,175.0,4,96
2757,others,970.0,2,40.0,2,245
2758,Kundalahalli,1397.0,3,108.0,3,158
2759,Sarjapur,1157.0,2,40.0,2,206
2760,Kasavanhalli,1125.0,2,61.2,2,138
2761,Sonnenahalli,1157.0,2,42.0,2,218
2762,Sarjapur  Road,1241.0,2,82.0,2,207
2763,Marathahalli,4000.0,4,220.0,4,169
2764,Rajiv Nagar,2340.0,4,148.0,4,199
2765,others,596.0,1,42.0,1,245
2766,others,10000.0,16,550.0,16,245
2767,Brookefield,1139.0,2,80.0,2,54
2768,Thigalarapalya,3122.0,5,225.0,4,224
2769,Yeshwanthpur,1168.0,2,64.08,2,244
2770,Chandapura,877.0,2,42.0,2,58
2771,Electronics City Phase 1,1340.0,2,75.0,2,80
2772,others,1405.0,2,70.0,3,245
2773,others,1800.0,3,65.0,3,245
2774,others,1360.0,2,65.0,3,245
2775,others,985.0,2,63.0,2,245
2776,others,1490.0,2,88.0,3,245
2777,others,620.0,1,25.0,2,245
2778,Hormavu,1130.0,2,42.3,2,106
2779,Yelachenahalli,1080.0,2,55.0,2,240
2780,Singasandra,3126.0,4,120.0,4,215
2781,Begur Road,1410.0,2,52.17,3,42
2782,Bommanahalli,1375.0,3,59.0,3,50
2783,Hennur Road,1290.0,2,94.5,3,102
2784,Hosa Road,1318.0,2,85.28,3,107
2785,Electronic City,1128.0,2,68.0,2,78
2786,others,4428.0,4,255.0,4,245
2787,Kanakpura Road,1051.0,2,56.74,2,135
2788,Kengeri,3500.0,5,275.0,3,143
2789,Kannamangala,2400.0,4,130.0,4,136
2790,Yelahanka,1327.0,2,85.0,2,241
2791,Thigalarapalya,2912.0,6,210.0,4,224
2792,others,1301.0,2,55.0,2,245
2793,others,650.0,1,30.0,1,245
2794,Varthur,1200.0,3,67.75,3,231
2795,others,1500.0,2,89.99,3,245
2796,Sarjapur  Road,984.0,2,45.91,2,207
2797,others,910.0,1,42.0,1,245
2798,others,1250.0,3,39.0,3,245
2799,Hosakerehalli,1304.0,2,100.0,2,108
2800,Begur Road,1615.0,3,58.0,3,42
2801,Sarjapur  Road,1400.0,2,68.0,2,207
2802,CV Raman Nagar,1070.0,2,47.5,2,56
2803,Hoodi,1132.0,2,89.37,2,103
2804,others,2000.0,3,85.0,3,245
2805,Sector 2 HSR Layout,794.0,1,65.0,1,210
2806,Raja Rajeshwari Nagar,1090.0,2,43.59,2,197
2807,Gottigere,1500.0,3,70.0,3,87
2808,Whitefield,1269.0,2,75.0,2,239
2809,Kanakpura Road,1070.0,2,37.45,2,135
2810,Marathahalli,1208.0,2,70.0,2,169
2811,Ramamurthy Nagar,1185.0,2,45.5,2,201
2812,Anekal,888.0,2,34.0,2,18
2813,others,532.0,1,22.49,1,245
2814,others,1060.0,3,62.0,3,245
2815,Electronic City,700.0,1,35.0,1,78
2816,others,902.0,2,42.0,2,245
2817,Doddathoguru,984.0,2,51.0,2,73
2818,Hebbal,2700.0,2,100.0,4,98
2819,Jalahalli East,1475.0,3,96.0,3,119
2820,Haralur Road,1300.0,2,79.0,2,96
2821,Babusapalaya,1453.0,2,43.59,3,27
2822,Akshaya Nagar,1666.0,3,95.0,3,12
2823,Murugeshpalya,1845.0,3,91.0,3,174
2824,Sarjapura - Attibele Road,1676.0,3,52.0,3,208
2825,Uttarahalli,1137.0,2,63.0,2,230
2826,Electronic City,1360.0,2,70.5,3,78
2827,others,1374.0,2,70.0,3,245
2828,Whitefield,3227.0,5,250.0,5,239
2829,others,2145.0,4,125.0,4,245
2830,Kasavanhalli,2170.0,3,151.0,3,138
2831,others,1080.0,2,55.0,2,245
2832,Electronic City Phase II,1790.0,3,100.0,3,79
2833,Doddathoguru,550.0,1,17.0,1,73
2834,Somasundara Palya,1033.0,2,48.0,2,216
2835,others,1000.0,2,80.0,2,245
2836,others,1240.0,2,52.6,2,245
2837,others,1500.0,2,97.0,3,245
2838,Marathahalli,1730.0,3,139.0,3,169
2839,Kasavanhalli,1915.0,3,80.0,3,138
2840,Whitefield,1545.0,3,79.0,3,239
2841,others,1865.0,4,140.0,3,245
2842,Hebbal Kempapura,1150.0,2,40.0,2,99
2843,others,1200.0,2,49.0,2,245
2844,Kengeri,963.0,2,40.0,2,143
2845,Kaikondrahalli,1700.0,4,108.0,4,127
2846,Lingadheeranahalli,1682.0,3,120.0,3,162
2847,Yelahanka,1371.0,2,65.0,3,241
2848,Hennur Road,901.0,2,49.5,2,102
2849,Ambalipura,1730.0,3,120.0,3,13
2850,EPIP Zone,1500.0,3,102.0,3,77
2851,Sarjapur  Road,3785.0,6,280.0,4,207
2852,others,3500.0,4,245.0,4,245
2853,others,1203.0,2,59.86,2,245
2854,Horamavu Banaswadi,1357.0,2,54.0,2,105
2855,others,1600.0,3,76.0,3,245
2856,Yelahanka New Town,350.0,1,13.5,1,242
2857,Varthur,1665.0,3,53.0,3,231
2858,Sarjapur  Road,835.0,1,46.95,1,207
2859,Haralur Road,1444.0,2,80.0,3,96
2860,Kanakapura,1277.0,2,55.0,2,134
2861,Lingadheeranahalli,1521.0,3,94.71,3,162
2862,others,1134.0,2,40.0,2,245
2863,Vasanthapura,995.0,2,34.82,2,233
2864,Old Madras Road,2760.0,5,157.0,3,188
2865,Marathahalli,1325.0,1,92.0,2,169
2866,Kothanur,4000.0,6,150.0,6,154
2867,Marathahalli,1525.0,3,90.0,3,169
2868,others,1320.0,2,73.0,3,245
2869,Electronics City Phase 1,650.0,1,23.0,1,80
2870,Electronic City,1150.0,2,38.0,2,78
2871,Electronic City Phase II,769.0,2,40.0,2,79
2872,Electronic City,1571.0,3,105.0,3,78
2873,Hennur Road,1445.0,3,86.56,3,102
2874,Bommasandra,902.0,2,49.0,2,51
2875,Sarjapur,2238.0,3,140.0,3,206
2876,Electronic City,1090.0,2,31.49,2,78
2877,Yelahanka,1712.0,3,82.0,3,241
2878,Haralur Road,1088.0,2,68.0,2,96
2879,Somasundara Palya,1575.0,3,63.1,3,216
2880,Kundalahalli,1920.0,3,150.0,3,158
2881,Margondanahalli,1000.0,2,57.0,2,170
2882,others,1100.0,2,56.1,2,245
2883,Electronic City,1089.0,2,45.0,2,78
2884,Horamavu Agara,1106.0,2,43.09,2,104
2885,Kengeri,927.0,2,37.0,2,143
2886,Kanakpura Road,1339.0,2,58.0,2,135
2887,Thanisandra,923.0,1,45.69,1,223
2888,Lakshminarayana Pura,1175.0,2,75.0,2,161
2889,Thubarahalli,975.0,2,55.0,2,225
2890,Hebbal,2400.0,4,180.0,3,98
2891,Subramanyapura,1330.0,3,72.0,3,219
2892,Thanisandra,1183.0,2,59.74,2,223
2893,Harlur,1758.0,3,133.0,3,97
2894,Pai Layout,1100.0,2,50.0,2,190
2895,Ramamurthy Nagar,1170.0,2,46.8,2,201
2896,others,2400.0,5,120.0,5,245
2897,Raja Rajeshwari Nagar,1530.0,3,51.77,3,197
2898,Hebbal,1420.0,2,107.0,2,98
2899,Kanakpura Road,1591.0,3,115.0,3,135
2900,others,675.0,3,52.0,2,245
2901,Hoodi,1055.0,2,57.63,2,103
2902,Iblur Village,1918.0,3,129.0,3,114
2903,Sarjapur  Road,1280.0,2,76.0,2,207
2904,Nagarbhavi,1560.0,3,66.0,3,180
2905,Sarjapur  Road,1145.0,2,49.5,2,207
2906,others,1801.0,3,139.0,3,245
2907,Hebbal,1320.0,2,92.0,2,98
2908,others,1350.0,2,65.0,3,245
2909,Kalyan nagar,3800.0,5,300.0,4,130
2910,Bannerghatta Road,1344.0,2,42.0,3,37
2911,Bannerghatta Road,1893.0,3,100.0,3,37
2912,Chandapura,1107.0,2,43.0,3,58
2913,Lakshminarayana Pura,1190.0,2,75.0,2,161
2914,Whitefield,1000.0,2,35.0,2,239
2915,others,2400.0,2,160.0,2,245
2916,Kumaraswami Layout,1000.0,2,48.5,2,157
2917,Jalahalli,2113.0,3,155.0,3,118
2918,KR Puram,1100.0,2,46.0,2,122
2919,Harlur,1884.0,4,120.0,4,97
2920,Electronic City,1110.0,2,40.0,2,78
2921,others,1250.0,3,40.0,3,245
2922,Sarjapur  Road,1470.0,3,62.0,3,207
2923,others,1150.0,2,75.0,2,245
2924,Kudlu Gate,703.0,1,52.0,1,156
2925,others,1400.0,2,62.0,3,245
2926,Bellandur,1195.0,2,51.0,2,43
2927,others,1302.0,2,69.1,2,245
2928,Begur Road,1583.0,3,74.4,3,42
2929,others,1488.0,2,60.0,3,245
2930,Whitefield,3262.0,4,260.0,4,239
2931,Electronic City,1600.0,3,104.0,3,78
2932,Old Airport Road,1150.0,2,90.0,2,187
2933,others,4500.0,9,166.0,9,245
2934,Sarjapur  Road,1263.0,2,78.0,2,207
2935,Kanakpura Road,1299.0,2,85.0,2,135
2936,Banashankari,1330.0,2,78.0,2,29
2937,Devanahalli,1282.0,2,52.43,3,68
2938,others,1853.0,3,82.0,3,245
2939,others,861.0,2,35.0,2,245
2940,Bannerghatta Road,1600.0,3,95.0,3,37
2941,others,1256.0,2,62.8,2,245
2942,others,1390.0,2,80.0,3,245
2943,others,1550.0,2,90.0,3,245
2944,Hebbal,919.0,2,49.0,2,98
2945,Margondanahalli,1625.0,3,80.0,3,170
2946,Gunjur,1195.0,2,44.0,2,90
2947,Yelenahalli,1159.0,2,60.0,2,243
2948,Whitefield,1386.0,3,57.46,3,239
2949,Harlur,1197.0,2,79.0,2,97
2950,Jigani,5950.0,0,226.0,4,120
2951,Bommasandra,1295.0,2,50.28,3,51
2952,others,1310.0,2,37.83,3,245
2953,Whitefield,1132.0,2,79.28,2,239
2954,Hebbal,1645.0,3,135.0,3,98
2955,Whitefield,1200.0,2,45.84,2,239
2956,Marathahalli,1937.0,3,140.0,3,169
2957,Doddathoguru,1015.0,2,33.5,2,73
2958,others,1080.0,2,39.0,2,245
2959,Kathriguppe,1350.0,2,80.99,3,140
2960,Kothanur,1185.0,2,59.0,2,154
2961,Domlur,1720.0,3,135.0,3,75
2962,Tindlu,1500.0,3,87.0,3,227
2963,Yelahanka,1566.0,3,97.0,3,241
2964,others,1500.0,4,110.0,4,245
2965,KR Puram,1290.0,2,49.02,2,122
2966,others,1531.0,3,72.0,3,245
2967,Whitefield,1140.0,2,39.0,2,239
2968,Tumkur Road,1948.5,3,57.76,3,228
2969,Banashankari Stage III,2000.0,4,100.0,4,31
2970,Kaval Byrasandra,1100.0,2,46.0,2,141
2971,others,1200.0,2,55.0,2,245
2972,Bannerghatta,1618.0,3,68.0,3,36
2973,Whitefield,2830.0,5,160.0,4,239
2974,Uttarahalli,1315.0,2,74.0,3,230
2975,Anandapura,1141.0,2,42.75,2,16
2976,AECS Layout,1080.0,2,55.0,2,10
2977,HBR Layout,1200.0,2,60.0,2,93
2978,Varthur,1111.0,2,41.88,2,231
2979,NGR Layout,1022.0,2,45.9,2,176
2980,Bannerghatta Road,1275.0,2,65.0,2,37
2981,others,900.0,2,70.0,2,245
2982,Rachenahalli,1224.0,2,39.2,2,196
2983,Battarahalli,1135.0,2,43.0,2,40
2984,Rachenahalli,1050.0,2,52.1,2,196
2985,Bellandur,1050.0,2,72.0,2,43
2986,Hosa Road,1513.0,3,103.0,3,107
2987,Gottigere,1621.0,3,72.0,3,87
2988,Bannerghatta Road,892.0,2,39.0,2,37
2989,Whitefield,1205.0,2,40.0,2,239
2990,others,1200.0,6,70.0,4,245
2991,Kengeri,726.0,2,35.0,2,143
2992,Horamavu Agara,1079.0,2,41.0,2,104
2993,Begur Road,1170.0,2,46.0,2,42
2994,Doddathoguru,1104.0,2,39.0,2,73
2995,Kanakpura Road,950.0,2,45.0,2,135
2996,Hormavu,4818.0,4,390.0,4,106
2997,others,1650.0,2,52.0,3,245
2998,Kogilu,1559.0,3,127.0,3,150
2999,others,1100.0,2,38.0,2,245
3000,Ramagondanahalli,1215.0,2,45.5,2,200
3001,Talaghattapura,1868.0,3,135.0,3,222
3002,Electronic City,1130.0,2,32.63,2,78
3003,Sarjapur  Road,1691.0,3,98.0,3,207
3004,Ardendale,4355.0,3,350.0,5,20
3005,Hulimavu,1225.0,2,55.0,2,111
3006,JP Nagar,1690.0,3,112.0,3,116
3007,Kasturi Nagar,1896.0,3,125.0,4,139
3008,Sonnenahalli,605.0,1,40.0,1,218
3009,Electronic City Phase II,900.0,2,32.5,2,79
3010,others,750.0,2,50.0,1,245
3011,Ananth Nagar,908.0,2,26.0,2,17
3012,Thanisandra,3216.0,4,226.0,4,223
3013,Iblur Village,1400.0,2,68.0,2,114
3014,Hulimavu,1255.0,2,74.0,2,111
3015,Electronic City,1500.0,2,100.0,3,78
3016,Thanisandra,1296.0,2,72.0,2,223
3017,Horamavu Banaswadi,925.0,2,38.0,2,105
3018,Raja Rajeshwari Nagar,1023.0,2,42.0,2,197
3019,Thanisandra,1020.0,2,44.5,2,223
3020,Choodasandra,1530.0,3,77.0,3,63
3021,Gubbalala,1650.0,3,71.0,3,89
3022,others,1605.0,2,85.0,3,245
3023,Kogilu,1190.0,2,50.66,2,150
3024,Jakkur,1374.0,3,68.0,3,117
3025,6th Phase JP Nagar,1140.0,2,65.0,2,6
3026,Green Glen Layout,1725.0,3,130.0,3,88
3027,Bisuvanahalli,1075.0,2,50.0,3,49
3028,Kannamangala,1574.0,3,93.34,3,136
3029,Sanjay nagar,965.0,1,32.0,1,204
3030,Marathahalli,1550.0,3,83.0,3,169
3031,others,1205.0,2,60.0,2,245
3032,Kambipura,1082.0,2,55.0,3,131
3033,Uttarahalli,1215.0,2,52.85,3,230
3034,others,1200.0,3,46.14,2,245
3035,Ardendale,3198.0,4,250.0,4,20
3036,Kanakpura Road,1452.0,3,60.98,3,135
3037,Electronic City Phase II,1329.0,2,41.0,3,79
3038,others,1125.0,2,44.0,2,245
3039,others,1200.0,2,70.0,2,245
3040,Sarjapur  Road,1350.0,3,39.97,3,207
3041,Hebbal,2600.0,3,195.0,3,98
3042,Pai Layout,1255.0,2,80.0,2,190
3043,others,1904.0,3,155.0,3,245
3044,Somasundara Palya,1329.0,2,70.0,2,216
3045,Chandapura,1200.0,2,60.0,2,58
3046,Murugeshpalya,2135.0,3,160.0,3,174
3047,others,813.0,1,39.0,1,245
3048,others,3884.0,4,240.0,4,245
3049,Doddaballapur,3876.0,3,300.0,3,71
3050,Kalena Agrahara,800.0,2,30.0,2,128
3051,Hormavu,1500.0,3,70.0,3,106
3052,Bannerghatta Road,1880.0,3,95.0,3,37
3053,Electronic City,1440.0,2,55.0,3,78
3054,Akshaya Nagar,1575.0,3,90.0,3,12
3055,others,1630.0,2,97.78,3,245
3056,Yelahanka,1180.0,3,55.0,3,241
3057,others,1090.0,2,36.0,2,245
3058,others,2425.0,4,173.0,4,245
3059,Varthur,1097.0,2,33.82,2,231
3060,Raja Rajeshwari Nagar,1070.0,2,50.0,2,197
3061,Kumaraswami Layout,1000.0,2,58.0,2,157
3062,others,1150.0,2,56.0,2,245
3063,Frazer Town,1900.0,4,145.0,3,81
3064,others,1141.0,2,49.0,2,245
3065,Jigani,937.0,2,44.0,2,120
3066,Green Glen Layout,1075.0,2,60.0,2,88
3067,Panathur,1000.0,2,65.3,2,191
3068,Kasavanhalli,1450.0,3,77.41,3,138
3069,others,936.0,2,43.0,2,245
3070,others,1280.0,2,75.0,2,245
3071,Babusapalaya,1050.0,2,45.0,2,27
3072,Marathahalli,1350.0,2,86.0,2,169
3073,Devanahalli,1174.0,2,59.0,2,68
3074,others,500.0,1,24.0,1,245
3075,Gottigere,1304.0,3,80.0,3,87
3076,Yelahanka,1653.0,3,120.0,3,241
3077,Bisuvanahalli,1075.0,2,52.0,3,49
3078,7th Phase JP Nagar,1212.0,3,42.0,2,7
3079,others,1100.0,2,50.0,2,245
3080,Billekahalli,1140.0,2,50.0,2,47
3081,others,1200.0,2,100.0,2,245
3082,Kudlu Gate,1532.0,3,83.0,3,156
3083,Doddaballapur,2776.0,4,195.0,3,71
3084,Padmanabhanagar,1531.0,2,75.0,3,189
3085,Uttarahalli,1325.0,2,53.0,2,230
3086,Electronic City,1156.0,2,44.0,3,78
3087,Bannerghatta Road,1260.0,2,70.0,2,37
3088,Vittasandra,1934.0,2,90.0,2,238
3089,Malleshpalya,1060.0,2,40.0,2,167
3090,Kasavanhalli,1476.0,3,95.0,3,138
3091,Murugeshpalya,1185.0,2,85.0,2,174
3092,others,1265.0,2,82.0,3,245
3093,others,3200.0,5,150.0,4,245
3094,others,1196.0,2,56.81,2,245
3095,EPIP Zone,1280.0,2,69.0,2,77
3096,Hulimavu,1175.0,2,45.0,2,111
3097,others,1850.0,3,98.0,3,245
3098,Whitefield,1195.0,2,70.0,2,239
3099,Hosur Road,1180.0,2,36.5,2,110
3100,Jakkur,1050.0,2,49.87,2,117
3101,Electronic City,1400.0,2,40.44,3,78
3102,others,2360.0,4,150.0,4,245
3103,others,1030.0,2,77.25,2,245
3104,others,1512.0,1,65.01,2,245
3105,Subramanyapura,929.0,2,48.0,2,219
3106,Jigani,1252.0,3,61.0,3,120
3107,Green Glen Layout,1485.0,3,115.0,3,88
3108,Electronics City Phase 1,1124.0,2,55.0,3,80
3109,Hennur Road,1482.0,2,97.0,3,102
3110,Whitefield,3480.0,4,284.0,3,239
3111,others,2000.0,3,160.0,3,245
3112,Prithvi Layout,1352.0,2,75.0,2,194
3113,Electronic City,1152.0,2,65.0,2,78
3114,others,1575.0,3,93.0,3,245
3115,Hegde Nagar,1965.0,4,125.0,3,100
3116,others,1300.0,2,70.0,3,245
3117,Marathahalli,957.0,2,47.0,2,169
3118,Hoskote,1740.0,3,60.0,3,109
3119,Neeladri Nagar,1060.0,2,35.0,2,184
3120,others,975.0,2,50.0,2,245
3121,Ramamurthy Nagar,1150.0,2,51.0,2,201
3122,Whitefield,1738.0,2,79.0,3,239
3123,Bommanahalli,1250.0,3,55.0,3,50
3124,Bannerghatta Road,1788.0,3,90.0,3,37
3125,Kanakapura,1151.0,2,59.0,2,134
3126,Uttarahalli,1300.0,2,60.0,3,230
3127,others,1380.0,2,75.0,2,245
3128,Hebbal,1645.0,3,117.0,3,98
3129,Babusapalaya,1141.0,2,45.9,2,27
3130,7th Phase JP Nagar,1175.0,2,82.5,2,7
3131,Banashankari Stage V,1355.0,2,61.0,3,32
3132,Dasarahalli,1150.0,2,70.0,2,67
3133,others,1000.0,2,45.0,2,245
3134,Balagere,1007.0,2,65.0,2,28
3135,others,3000.0,5,100.0,4,245
3136,Kothanur,1436.0,3,70.0,3,154
3137,Somasundara Palya,2372.0,3,140.0,3,216
3138,Rayasandra,1016.0,2,58.0,2,202
3139,Dodda Nekkundi,1100.0,2,48.0,2,70
3140,others,1080.0,2,45.0,2,245
3141,Electronic City,1070.0,2,60.0,2,78
3142,Kadubeesanahalli,1532.0,3,115.0,3,123
3143,Hennur,1040.0,2,42.12,2,101
3144,others,3100.0,3,250.0,3,245
3145,Tumkur Road,1675.5,2,48.905,2,228
3146,Thanisandra,1430.0,2,51.6,3,223
3147,ITPL,3262.0,5,205.0,4,113
3148,others,1827.0,3,100.0,3,245
3149,HRBR Layout,1210.0,2,75.0,2,94
3150,others,1500.0,3,95.0,3,245
3151,Hebbal,1251.0,2,88.73,2,98
3152,HSR Layout,1600.0,2,115.0,3,95
3153,Electronic City,1128.0,2,65.5,2,78
3154,Budigere,1820.0,3,93.0,3,55
3155,Thigalarapalya,2072.0,4,159.0,3,224
3156,Raja Rajeshwari Nagar,1510.0,2,59.0,3,197
3157,Hoodi,1925.0,2,114.0,3,103
3158,Thigalarapalya,2072.0,4,147.0,3,224
3159,Kumaraswami Layout,1000.0,2,36.0,2,157
3160,KR Puram,1752.0,3,145.0,3,122
3161,Sahakara Nagar,960.0,2,56.0,2,203
3162,others,1180.0,2,63.0,2,245
3163,Benson Town,2270.0,3,180.0,3,44
3164,Lakshminarayana Pura,1200.0,2,75.0,2,161
3165,Bisuvanahalli,1180.0,2,46.0,3,49
3166,others,1300.0,3,47.0,3,245
3167,Bannerghatta Road,1157.0,2,40.0,2,37
3168,Kanakpura Road,1300.0,3,69.0,3,135
3169,Banashankari Stage III,1305.0,2,59.0,3,31
3170,Jakkur,1290.0,2,80.0,2,117
3171,Hoskote,1170.0,2,45.0,2,109
3172,Yelachenahalli,1400.0,2,78.0,2,240
3173,others,1155.0,2,60.0,3,245
3174,Hormavu,1725.0,3,85.0,3,106
3175,Kanakpura Road,700.0,2,40.0,2,135
3176,Hoodi,1112.0,2,88.0,2,103
3177,Somasundara Palya,1178.0,2,78.0,2,216
3178,others,1274.0,2,81.0,2,245
3179,Doddathoguru,915.0,2,32.0,2,73
3180,others,1540.0,3,68.0,3,245
3181,others,1206.0,2,38.5,2,245
3182,Nehru Nagar,2342.0,3,115.0,4,185
3183,others,1200.0,2,55.0,3,245
3184,Yelenahalli,1056.0,2,33.0,2,243
3185,Raja Rajeshwari Nagar,4800.0,8,225.0,8,197
3186,Kanakpura Road,1450.0,3,54.3,3,135
3187,others,1161.0,2,36.69,2,245
3188,others,1097.0,2,65.0,2,245
3189,Uttarahalli,850.0,2,35.0,2,230
3190,Green Glen Layout,1715.0,3,115.0,3,88
3191,Electronic City,1200.0,2,59.0,2,78
3192,8th Phase JP Nagar,1080.0,2,38.0,2,8
3193,Kasavanhalli,1200.0,2,50.3,2,138
3194,Banashankari,1400.0,2,78.0,3,29
3195,Kanakpura Road,648.5,1,19.695,1,135
3196,Marathahalli,1230.0,2,57.0,2,169
3197,Kalyan nagar,1640.0,3,88.0,3,130
3198,Banashankari,1700.0,3,125.0,3,29
3199,Bommasandra,1478.0,2,44.0,3,51
3200,Banashankari,1020.0,2,40.79,2,29
3201,Yelahanka,1275.0,2,95.0,3,241
3202,Kanakapura,1110.0,2,38.85,2,134
3203,Uttarahalli,1627.86,3,88.0,3,230
3204,others,620.0,2,22.0,2,245
3205,Hosa Road,1133.0,2,52.0,2,107
3206,Hennur Road,1182.0,2,82.5,2,102
3207,Tumkur Road,1500.0,3,100.0,3,228
3208,Marathahalli,1200.0,2,58.0,2,169
3209,Raja Rajeshwari Nagar,1128.0,2,48.79,2,197
3210,Amruthahalli,1100.0,2,45.0,2,15
3211,Kengeri Satellite Town,635.0,1,22.0,2,144
3212,Ardendale,2062.0,3,140.0,4,20
3213,Thanisandra,1874.0,4,130.0,3,223
3214,Old Madras Road,1171.0,2,75.0,2,188
3215,Sarjapur,2020.0,3,85.0,3,206
3216,8th Phase JP Nagar,1059.0,2,34.5,2,8
3217,Panathur,1315.0,2,59.1,3,191
3218,Jakkur,1760.0,3,110.0,3,117
3219,Hennur Road,1192.0,2,62.0,3,102
3220,Hebbal,1645.0,3,121.0,3,98
3221,Whitefield,1250.0,2,72.0,2,239
3222,Whitefield,971.0,1,34.385,1,239
3223,Whitefield,1340.0,2,77.0,2,239
3224,Hosa Road,1369.1,2,104.0,2,107
3225,others,1355.0,2,75.0,2,245
3226,Bannerghatta Road,1150.0,2,65.0,2,37
3227,Kanakapura,1938.0,3,113.0,3,134
3228,Begur Road,2462.0,4,124.0,4,42
3229,Budigere,1636.0,3,85.0,3,55
3230,Akshaya Nagar,1430.0,2,75.0,3,12
3231,others,2000.0,3,85.0,3,245
3232,Electronic City Phase II,993.0,2,50.0,3,79
3233,Kanakpura Road,1700.0,3,88.0,3,135
3234,Yelahanka,1270.0,2,78.0,2,241
3235,Anjanapura,1500.0,3,121.0,3,19
3236,Marathahalli,1650.0,3,86.45,3,169
3237,Panathur,1109.0,2,63.0,2,191
3238,others,1280.0,2,49.75,2,245
3239,Sarjapur,2885.0,3,185.0,4,206
3240,Kothanur,1462.0,3,71.0,3,154
3241,Marathahalli,607.0,1,35.0,1,169
3242,Varthur,4500.0,5,300.0,4,231
3243,JP Nagar,3000.0,4,140.0,4,116
3244,Electronic City Phase II,1418.0,3,52.47,3,79
3245,others,4200.0,1,160.0,2,245
3246,EPIP Zone,1125.0,2,65.0,2,77
3247,CV Raman Nagar,1825.0,3,126.0,3,56
3248,Whitefield,1320.0,2,79.5,2,239
3249,JP Nagar,3000.0,4,140.0,4,116
3250,Whitefield,750.0,2,52.7,2,239
3251,Yelahanka,1400.0,2,80.54,3,241
3252,Rajaji Nagar,5000.0,4,375.0,4,198
3253,Mahadevpura,3295.0,4,260.0,5,164
3254,Whitefield,1200.0,3,61.96,3,239
3255,Poorna Pragna Layout,965.0,2,48.0,2,193
3256,KR Puram,1100.0,2,43.0,2,122
3257,Whitefield,1180.0,2,41.0,2,239
3258,HSR Layout,1145.0,2,48.0,2,95
3259,others,1215.0,2,49.85,2,245
3260,Hegde Nagar,1200.0,2,75.0,2,100
3261,Kenchenahalli,1015.0,2,58.0,2,142
3262,Kaggalipura,2400.0,3,165.0,3,126
3263,7th Phase JP Nagar,3300.0,4,160.0,3,7
3264,others,1076.0,2,52.0,2,245
3265,Hebbal Kempapura,1300.0,2,102.0,2,99
3266,Hosa Road,1512.0,3,123.0,3,107
3267,Yeshwanthpur,875.0,1,41.745,1,244
3268,Hormavu,1153.0,2,65.0,2,106
3269,others,2080.0,2,150.0,2,245
3270,Hulimavu,1255.0,2,69.0,2,111
3271,Marathahalli,1583.0,3,109.0,3,169
3272,others,1505.0,2,90.0,2,245
3273,Kathriguppe,1365.0,2,75.08,3,140
3274,others,1200.0,3,95.75,3,245
3275,others,1810.0,4,148.0,3,245
3276,Magadi Road,440.0,1,35.0,1,163
3277,Subramanyapura,975.0,2,63.0,2,219
3278,others,1250.0,2,39.0,2,245
3279,others,1530.0,2,97.0,3,245
3280,Kereguddadahalli,1300.0,2,39.0,3,145
3281,Channasandra,1115.0,2,40.0,2,59
3282,Sarjapur  Road,1308.0,2,83.0,2,207
3283,Uttarahalli,1490.0,2,59.6,3,230
3284,Bannerghatta Road,10000.0,4,450.0,4,37
3285,Sarjapur  Road,1592.0,3,91.0,3,207
3286,Raja Rajeshwari Nagar,1267.0,2,42.85,2,197
3287,Balagere,656.0,1,53.0,1,28
3288,Chandapura,1200.0,1,36.0,2,58
3289,Thanisandra,1698.0,3,102.0,3,223
3290,others,1500.0,3,70.0,3,245
3291,others,2000.0,5,80.0,4,245
3292,Electronic City,1152.0,2,65.75,2,78
3293,Raja Rajeshwari Nagar,550.0,1,21.0,1,197
3294,Pattandur Agrahara,900.0,2,42.0,2,192
3295,others,1410.0,2,45.12,3,245
3296,Akshaya Nagar,1419.0,2,73.0,3,12
3297,AECS Layout,1800.0,3,65.0,3,10
3298,Gottigere,990.0,2,40.0,2,87
3299,Sarjapur  Road,1016.0,2,45.0,2,207
3300,Bannerghatta Road,1100.0,2,39.0,2,37
3301,Whitefield,1095.0,2,35.0,2,239
3302,others,2000.0,3,85.0,3,245
3303,Budigere,1444.0,2,70.0,2,55
3304,Whitefield,1415.0,2,67.0,2,239
3305,others,1600.0,3,72.0,3,245
3306,Whitefield,1105.0,2,41.36,2,239
3307,Electronic City,1225.0,3,45.03,3,78
3308,Dasarahalli,2400.0,3,150.0,7,67
3309,Talaghattapura,1856.0,3,135.0,3,222
3310,others,2100.0,6,71.0,6,245
3311,Sarjapur  Road,1150.0,2,77.0,2,207
3312,Whitefield,2919.0,0,113.19,3,239
3313,5th Phase JP Nagar,1485.0,2,67.0,3,5
3314,others,2500.0,3,75.0,3,245
